state,division,ballotPosition,surname,ballotGivenName,gender,fullName,fullName,partyBallotName,house,incumbent
NSW,Greenway,4,BOSI,Riccardo Umberto Guerrino,M,Riccardo Umberto Guerrino Bosi,Riccardo Umberto Guerrino Bosi,Independent,House,0
NSW,Greenway,5,NANDA,Love Preet Singh,M,Love Preet Singh Nanda,Love Preet Singh Nanda,Independent,House,0
NSW,Greenway,6,TURNER,Rick,M,Rick Turner,Rick Turner,Pauline Hanson's One Nation,House,0
NSW,Greenway,7,PATHI,Pradeep,M,Pradeep Pathi,Pradeep Pathi,Liberal,House,0
NSW,Greenway,8,ATKINS,Damien,M,Damien Atkins,Damien Atkins,The Greens,House,0
NSW,Hughes,1,WARE,Jenny,F,Jenny Ware,Jenny Ware,Liberal,House,0
NSW,Hughes,2,THOMPSON,Pete,M,Pete Thompson,Pete Thompson,The Greens,House,0
NSW,Hughes,3,STEELE,Georgia,F,Georgia Steele,Georgia Steele,Independent,House,0
NSW,Hughes,4,KELLY,Craig,M,Craig Kelly,Craig Kelly,United Australia Party,House,1
NSW,Hughes,5,SEYMOUR,Narelle,F,Narelle Seymour,Narelle Seymour,Pauline Hanson's One Nation,House,0
NSW,Hughes,6,SEYMOUR,Linda,F,Linda Seymour,Linda Seymour,Independent,House,0
NSW,Hughes,7,CAMPBELL,Riley,M,Riley Campbell,Riley Campbell,Labor,House,0
NSW,Hume,1,BAINES,Greg,M,Greg Baines,Greg Baines,Labor,House,0
NSW,Hume,2,DOLLIN,Garry Trevor,M,Garry Trevor Dollin,Garry Trevor Dollin,United Australia Party,House,0
NSW,Hume,3,THOMPSON,Rebecca,F,Rebecca Thompson,Rebecca Thompson,Pauline Hanson's One Nation,House,0
NSW,Hume,4,MENERIPITIYAGE DONA,Sheneli,F,Sheneli Meneripitiyage Dona,Sheneli Meneripitiyage Dona,Independent,House,0
NSW,Hume,5,SELLER,Ross Edward,M,Ross Edward Seller,Ross Edward Seller,"Shooters, Fishers and Farmers Party",House,0
NSW,Hume,6,STEWART,Karen,F,Karen Stewart,Karen Stewart,The Greens,House,0
NSW,Hume,7,TAYLOR,Angus,M,Angus Taylor,Angus Taylor,Liberal,House,1
NSW,Hume,8,DE LIMA,Joaquim Eduardo,M,Joaquim Eduardo De Lima,Joaquim Eduardo De Lima,Liberal Democrats,House,0
NSW,Hume,9,ACKERY,Penny,F,Penny Ackery,Penny Ackery,Independent,House,0
NSW,Hunter,1,MURRAY,Janet,F,Janet Murray,Janet Murray,The Greens,House,0
NSW,Hunter,2,REPACHOLI,Dan,M,Dan Repacholi,Dan Repacholi,Labor,House,0
NSW,Hunter,3,DAVIES,Victoria,F,Victoria Davies,Victoria Davies,Animal Justice Party,House,0
NSW,Hunter,4,BONDS,Stuart,M,Stuart Bonds,Stuart Bonds,Independent,House,0
NSW,Hunter,5,TOWNSEND,Cathy,F,Cathy Townsend,Cathy Townsend,Informed Medical Options Party,House,0
NSW,Hunter,6,PASSFIELD,Geoff,M,Geoff Passfield,Geoff Passfield,United Australia Party,House,0
NSW,Hunter,7,THOMSON,James,M,James Thomson,James Thomson,The Nationals,House,0
NSW,Hunter,8,McNAMARA,Dale,M,Dale Mcnamara,Dale Mcnamara,Pauline Hanson's One Nation,House,0
NSW,Hunter,9,LARUFFA,Scott Fulvio,M,Scott Fulvio Laruffa,Scott Fulvio Laruffa,Independent,House,0
NSW,Kingsford Smith,1,DAVIS,Stuart,M,Stuart Davis,Stuart Davis,The Greens,House,0
NSW,Kingsford Smith,2,MARR,Darrin,M,Darrin Marr,Darrin Marr,Pauline Hanson's One Nation,House,0
NSW,Kingsford Smith,3,TAWAF,Anthony,M,Anthony Tawaf,Anthony Tawaf,United Australia Party,House,0
NSW,Kingsford Smith,4,TAN,Grace,F,Grace Tan,Grace Tan,Liberal,House,0
NSW,Kingsford Smith,5,THISTLETHWAITE,Matt,M,Matt Thistlethwaite,Matt Thistlethwaite,Labor,House,1
NSW,Lindsay,1,ROSS,Trevor,M,Trevor Ross,Trevor Ross,Labor,House,0
NSW,Lindsay,2,MORSSINK,Pieter,M,Pieter Morssink,Pieter Morssink,The Greens,House,0
NSW,Lindsay,3,JAGO,Max,M,Max Jago,Max Jago,Pauline Hanson's One Nation,House,0
NSW,Lindsay,4,O'CONNOR,Joseph,M,Joseph O'Connor,Joseph O'Connor,United Australia Party,House,0
NSW,Lindsay,5,McINTOSH,Melissa,F,Melissa Mcintosh,Melissa Mcintosh,Liberal,House,1
NSW,Lindsay,6,McCLURE,Gareth,M,Gareth Mcclure,Gareth Mcclure,Liberal Democrats,House,0
NSW,Lindsay,7,RAY,Rebekah,F,Rebekah Ray,Rebekah Ray,Informed Medical Options Party,House,0
NSW,Lyne,1,PEARCE,Joanne,F,Joanne Pearce,Joanne Pearce,Independent,House,0
NSW,Lyne,2,PUTLAND,Joel,M,Joel Putland,Joel Putland,United Australia Party,House,0
NSW,Lyne,3,GILLESPIE,David,M,David Gillespie,David Gillespie,The Nationals,House,1
NSW,Lyne,4,SIMPSON,Alex,M,Alex Simpson,Alex Simpson,Labor,House,0
NSW,Lyne,5,ATTKINS,Steve,M,Steve Attkins,Steve Attkins,Independent,House,0
NSW,Lyne,6,HORNSHAW,Mark,M,Mark Hornshaw,Mark Hornshaw,Liberal Democrats,House,0
NSW,Lyne,7,CASHMAN,Josephine,F,Josephine Cashman,Josephine Cashman,Pauline Hanson's One Nation,House,0
NSW,Lyne,8,ATTENBOROUGH,Karl,M,Karl Attenborough,Karl Attenborough,The Greens,House,0
NSW,Macarthur,1,RIVERA,Jayden,M,Jayden Rivera,Jayden Rivera,The Greens,House,0
NSW,Macarthur,2,PAUDEL,Binod,M,Binod Paudel,Binod Paudel,Liberal,House,0
NSW,Macarthur,3,FREELANDER,Mike,M,Mike Freelander,Mike Freelander,Labor,House,1
NSW,Macarthur,4,SICARI,Rosa Antonia,F,Rosa Antonia Sicari,Rosa Antonia Sicari,United Australia Party,House,0
NSW,Macarthur,5,KORMAN,Scott,M,Scott Korman,Scott Korman,Liberal Democrats,House,0
NSW,Macarthur,6,ZAHRA,Adam,M,Adam Zahra,Adam Zahra,Pauline Hanson's One Nation,House,0
NSW,Mackellar,1,STEELE,Barry,M,Barry Steele,Barry Steele,TNL,House,0
NSW,Mackellar,2,DICKSON,Darren,M,Darren Dickson,Darren Dickson,Pauline Hanson's One Nation,House,0
NSW,Mackellar,3,SCAMPS,Sophie,F,Sophie Scamps,Sophie Scamps,Independent,House,0
NSW,Mackellar,4,GOODMAN,Paula,F,Paula Goodman,Paula Goodman,Labor,House,0
NSW,Mackellar,5,FALINSKI,Jason,M,Jason Falinski,Jason Falinski,Liberal,House,1
NSW,Mackellar,6,BALL,Christopher Thomas,M,Christopher Thomas Ball,Christopher Thomas Ball,United Australia Party,House,0
NSW,Mackellar,7,HRNJAK,Ethan,M,Ethan Hrnjak,Ethan Hrnjak,The Greens,House,0
NSW,Macquarie,1,PETTITT,Tony,M,Tony Pettitt,Tony Pettitt,Pauline Hanson's One Nation,House,0
NSW,Macquarie,2,TEMPLEMAN,Susan,F,Susan Templeman,Susan Templeman,Labor,House,1
NSW,Macquarie,3,EVANS,Nicole,F,Nicole Evans,Nicole Evans,United Australia Party,House,0
NSW,Macquarie,4,JACKSON,James,M,James Jackson,James Jackson,Liberal Democrats,House,0
NSW,Macquarie,5,KEIGHTLEY,Greg,M,Greg Keightley,Greg Keightley,Animal Justice Party,House,0
NSW,Macquarie,6,HICKEY,Tony,M,Tony Hickey,Tony Hickey,The Greens,House,0
NSW,Macquarie,7,PALMER,Michelle,F,Michelle Palmer,Michelle Palmer,Informed Medical Options Party,House,0
NSW,Macquarie,8,RICHARDS,Sarah,F,Sarah Richards,Sarah Richards,Liberal,House,0
NSW,McMahon,1,BOWEN,Chris,M,Chris Bowen,Chris Bowen,Labor,House,1
NSW,McMahon,2,SALIBA,Marie,F,Marie Saliba,Marie Saliba,United Australia Party,House,0
NSW,McMahon,3,FORD,Scott,M,Scott Ford,Scott Ford,Pauline Hanson's One Nation,House,0
NSW,McMahon,4,SINGHA,Vivek,M,Vivek Singha,Vivek Singha,Liberal,House,0
NSW,McMahon,5,O'NEILL,Astrid,F,Astrid O'Neill,Astrid O'Neill,The Greens,House,0
NSW,McMahon,6,SHAMSABAD,Cameron,M,Cameron Shamsabad,Cameron Shamsabad,Liberal Democrats,House,0
NSW,Mitchell,1,MEAD,Clinton,M,Clinton Mead,Clinton Mead,Liberal Democrats,House,0
NSW,Mitchell,2,DANIEL,Linda,F,Linda Daniel,Linda Daniel,United Australia Party,House,0
NSW,Mitchell,3,COX,Matt,M,Matt Cox,Matt Cox,The Greens,House,0
NSW,Mitchell,4,SELVARAJ,Immanuel,M,Immanuel Selvaraj,Immanuel Selvaraj,Labor,House,0
NSW,Mitchell,5,McKENZIE,Donald,M,Donald Mckenzie,Donald Mckenzie,Pauline Hanson's One Nation,House,0
NSW,Mitchell,6,HAWKE,Alex,M,Alex Hawke,Alex Hawke,Liberal,House,1
NSW,New England,1,SAMIOS,Pavlo,M,Pavlo Samios,Pavlo Samios,Liberal Democrats,House,0
NSW,New England,2,DUNCAN,Cindy Anne,F,Cindy Anne Duncan,Cindy Anne Duncan,United Australia Party,House,0
NSW,New England,3,LEDGER,Natasha,F,Natasha Ledger,Natasha Ledger,Independent,House,0
NSW,New England,4,JOYCE,Barnaby,M,Barnaby Joyce,Barnaby Joyce,The Nationals,House,1
NSW,New England,5,SHARPHAM,Matt,M,Matt Sharpham,Matt Sharpham,Independent,House,0
NSW,New England,6,THOMAS,Richard,M,Richard Thomas,Richard Thomas,Pauline Hanson's One Nation,House,0
NSW,New England,7,SPARKS,Carol,F,Carol Sparks,Carol Sparks,The Greens,House,0
NSW,New England,8,HUGHES,Laura,F,Laura Hughes,Laura Hughes,Labor,House,0
NSW,Newcastle,1,PYWELL,Garth,M,Garth Pywell,Garth Pywell,Australian Federation Party,House,0
NSW,Newcastle,2,McCABE,Charlotte,F,Charlotte Mccabe,Charlotte Mccabe,The Greens,House,0
NSW,Newcastle,3,COOK,Amanda,F,Amanda Cook,Amanda Cook,United Australia Party,House,0
NSW,Newcastle,4,CLAYDON,Sharon,F,Sharon Claydon,Sharon Claydon,Labor,House,1
NSW,Newcastle,5,HUSSEY,William,M,William Hussey,William Hussey,Informed Medical Options Party,House,0
NSW,Newcastle,6,WARK,Katrina,F,Katrina Wark,Katrina Wark,Liberal,House,0
NSW,Newcastle,7,WATSON,Mark James,M,Mark James Watson,Mark James Watson,Pauline Hanson's One Nation,House,0
NSW,Newcastle,8,BROLLO,Emily,F,Emily Brollo,Emily Brollo,Animal Justice Party,House,0
NSW,North Sydney,1,BOURKE,William,M,William Bourke,William Bourke,Sustainable Australia Party - Stop Overdevelopment / Corruption,House,0
NSW,North Sydney,2,NALBANDIAN,Robert,M,Robert Nalbandian,Robert Nalbandian,United Australia Party,House,0
NSW,North Sydney,3,ARMSTRONG,Heather,F,Heather Armstrong,Heather Armstrong,The Greens,House,0
NSW,North Sydney,4,KLINE,Victor,M,Victor Kline,Victor Kline,TNL,House,0
NSW,North Sydney,5,KINNEY,Lesley,F,Lesley Kinney,Lesley Kinney,Informed Medical Options Party,House,0
NSW,North Sydney,6,TINKLER,Dajen,M,Dajen Tinkler,Dajen Tinkler,Liberal Democrats,House,0
NSW,North Sydney,7,ZIMMERMAN,Trent,M,Trent Zimmerman,Trent Zimmerman,Liberal,House,1
NSW,North Sydney,8,TINK,Kylea Jane,F,Kylea Jane Tink,Kylea Jane Tink,Independent,House,0
NSW,North Sydney,9,WALLS,Michael,M,Michael Walls,Michael Walls,Pauline Hanson's One Nation,House,0
NSW,North Sydney,10,RENSHAW,Catherine,F,Catherine Renshaw,Catherine Renshaw,Labor,House,0
NSW,Page,1,SEARLES,Thomas,M,Thomas Searles,Thomas Searles,Liberal Democrats,House,0
NSW,Page,2,PIKE,Donna,F,Donna Pike,Donna Pike,Pauline Hanson's One Nation,House,0
NSW,Page,3,MILLER,Kashmir,F,Kashmir Miller,Kashmir Miller,The Greens,House,0
NSW,Page,4,SMITH,Heather Mary,F,Heather Mary Smith,Heather Mary Smith,Australian Federation Party,House,0
